MTX,%XLC,%Na2O,N/TX,kd,Tuoi,Cuongdo
340,50,5.01,0.47,1.62,56,72.79
412,50,5.51,0.388,1.667,56,78.75
276,30.1,4,0.58,1.584,112,30.98
280,40,4.02,0.57,1.58,112,37.56
292,50,3.99,0.548,1.584,112,43.65
314,50,4,0.51,1.601,112,50.08
310,50,4.48,0.516,1.6,112,59.47
340,50,5.01,0.47,1.62,112,74.04
412,50,5.51,0.388,1.667,112,81.61
350,40,5,0.415,1.679,28,54.8
400,40,3.99,0.4,1.663,28,52.69
400,40,6,0.4,1.671,28,66.37
300.2,40,4,0.533,1.597,28,35.62
300.2,40,5.99,0.533,1.604,28,56.29
400,60,3.99,0.4,1.646,28,59.92
400,60,6,0.4,1.653,28,81.58
300.2,60,4,0.533,1.583,28,39.32
300.2,60,5.99,0.533,1.59,28,63.98
342.6,50,3.31,0.467,1.616,28,36.16
342.6,50,6.67,0.467,1.627,28,73.67
451.2,50,5.01,0.355,1.684,28,72.74
276.6,50,5,0.578,1.574,28,46.17
342.6,33.2,5.01,0.467,1.635,28,47.79
342.6,66.8,5.01,0.467,1.609,28,61.12
342.6,50,5.01,0.467,1.622,28,60.09
342.6,50,5.01,0.467,1.622,28,62.04
342.6,50,5.01,0.467,1.622,28,56.28
342.6,50,5.01,0.467,1.622,28,58.65
342.6,50,5.01,0.467,1.622,28,63.8
342.6,50,5.01,0.467,1.622,28,62.15
400,40,3.99,0.4,1.663,28,53.15
400,40,6,0.4,1.671,28,68.96
300.2,40,4,0.533,1.597,28,35.26
300.2,40,5.99,0.533,1.604,28,54.44
400,60,3.99,0.4,1.646,28,60.09
400,60,6,0.4,1.653,28,75.73
300.2,60,4,0.533,1.583,28,38.07
300.2,60,5.99,0.533,1.59,28,62.97
342.6,50,3.31,0.467,1.616,28,34.05
342.6,50,6.67,0.467,1.627,28,70.62
451.2,50,5.01,0.355,1.684,28,71.32
276.6,50,5,0.578,1.574,28,45.26
342.6,33.2,5.01,0.467,1.635,28,49.57
342.6,66.8,5.01,0.467,1.609,28,66.59
342.6,50,5.01,0.467,1.622,28,58.01
342.6,50,5.01,0.467,1.622,28,62.72
342.6,50,5.01,0.467,1.622,28,57.51
342.6,50,5.01,0.467,1.622,28,58.89
342.6,50,5.01,0.467,1.622,28,59.06
342.6,50,5.01,0.467,1.622,28,61.11
