Cat,Da,XLC,TB,Na2SiO3,NaOH,Nuoc,Tuoi,Cuongdo
791,1116,112,168,56.8,8.9,123,3 ,8.43 
784,1113,146,146,59.1,9.2,122,3 ,15.59 
765,1105,157,157,63.7,9.9,119,3 ,21.66 
767,1106,155,155,71.3,11.1,114,3 ,23.39 
736,1096,170,170,88.4,13.8,103,3 ,33.85 
666,1075,206,206,119.1,18.6,83,3 ,44.87 
793,1117,83,193,55.9,8.7,124,7 ,15.07 
791,1116,112,168,56.8,8.9,123,7 ,19.67 
784,1113,146,146,59.1,9.2,122,7 ,25.01 
765,1105,157,157,63.7,9.9,119,7 ,31.85 
767,1106,155,155,71.3,11.1,114,7 ,36.83 
736,1096,170,170,88.4,13.8,103,7 ,47.39 
666,1075,206,206,119.1,18.6,83,7 ,57.37 
793,1117,83,193,55.9,8.7,124,28 ,25.12 
791,1116,112,168,56.8,8.9,123,28 ,31.23 
784,1113,146,146,59.1,9.2,122,28 ,36.25 
765,1105,157,157,63.7,9.9,119,28 ,42.47 
767,1106,155,155,71.3,11.1,114,28 ,49.77 
736,1096,170,170,88.4,13.8,103,28 ,61.54 
666,1075,206,206,119.1,18.6,83,28 ,73.55 
793,1117,83,193,55.9,8.7,124,56 ,30.65 
791,1116,112,168,56.8,8.9,123,56 ,37.16 
784,1113,146,146,59.1,9.2,122,56 ,42.05 
765,1105,157,157,63.7,9.9,119,56 ,49.69 
767,1106,155,155,71.3,11.1,114,56 ,58.73 
736,1096,170,170,88.4,13.8,103,56 ,71.39 
666,1075,206,206,119.1,18.6,83,56 ,78.33 
793,1117,83,193,55.9,8.7,124,112 ,30.90 
791,1116,112,168,56.8,8.9,123,112 ,37.54 
784,1113,146,146,59.1,9.2,122,112 ,43.14 
765,1105,157,157,63.7,9.9,119,112 ,49.90 
767,1106,155,155,71.3,11.1,114,112 ,59.48 
736,1096,170,170,88.4,13.8,103,112 ,72.31 
666,1075,206,206,119.1,18.6,83,112 ,79.80 
793,1117,83,193,55.9,8.7,124,3 ,6.16 
791,1116,112,168,56.8,8.9,123,3 ,8.57 
784,1113,146,146,59.1,9.2,122,3 ,15.91 
765,1105,157,157,63.7,9.9,119,3 ,22.01 
767,1106,155,155,71.3,11.1,114,3 ,23.81 
736,1096,170,170,88.4,13.8,103,3 ,34.54 
666,1075,206,206,119.1,18.6,83,3 ,45.75 
793,1117,83,193,55.9,8.7,124,7 ,15.44 
